week,trendvalue,term,nation
8/16/2020,80,anxiety,New Zealand
8/11/2019,80,therapy,New Zealand
1/5/2020,80,therapy,New Zealand
9/13/2020,80,therapy,New Zealand
3/21/2021,80,therapy,New Zealand
9/12/2021,80,therapy,New Zealand
12/1/2019,80,ocd,United States
4/25/2021,80,ocd,United States
9/12/2021,80,ocd,United States
12/15/2019,80,depression,United States
9/27/2020,80,depression,United States
10/11/2020,80,depression,United States
1/31/2021,80,depression,United States
9/19/2021,80,depression,United States
5/26/2019,80,anxiety,United States
4/12/2020,80,anxiety,United States
11/1/2020,80,anxiety,United States
12/20/2020,80,anxiety,United States
1/13/2019,80,insomnia,United States
3/17/2019,80,insomnia,United States
4/7/2019,80,insomnia,United States
7/21/2019,80,insomnia,United States
3/22/2020,80,insomnia,United States
7/5/2020,80,insomnia,United States
9/19/2021,80,insomnia,United States
4/5/2020,80,anxiety,Mexico
3/14/2021,80,anxiety,Mexico
7/11/2021,80,anxiety,Mexico
8/29/2021,80,anxiety,Mexico
9/5/2021,80,anxiety,Mexico
9/26/2021,80,anxiety,Mexico
5/3/2020,80,insomnia,Mexico
4/14/2019,80,therapy,Mexico
8/16/2020,80,therapy,Mexico
9/13/2020,80,therapy,Mexico
9/20/2020,80,therapy,Mexico
5/9/2021,80,therapy,Mexico
7/4/2021,79,ocd,India
5/24/2020,79,therapy,India
9/27/2020,79,therapy,India
11/15/2020,79,therapy,India
1/24/2021,79,therapy,India
3/21/2021,79,therapy,India
7/18/2021,79,therapy,India
5/26/2019,79,ocd,Brazil
9/8/2019,79,depression,Brazil
5/3/2020,79,anxiety,Brazil
5/10/2020,79,anxiety,Brazil
8/8/2021,79,anxiety,Brazil
4/14/2019,79,insomnia,Brazil
5/3/2020,79,insomnia,Brazil
5/10/2020,79,insomnia,Brazil
5/24/2020,79,insomnia,Brazil
7/26/2020,79,insomnia,Brazil
1/10/2021,79,insomnia,Brazil
5/23/2021,79,insomnia,Brazil
6/6/2021,79,insomnia,Brazil
4/12/2020,79,therapy,Brazil
5/2/2021,79,therapy,Brazil
6/27/2021,79,therapy,Brazil
7/25/2021,79,therapy,Brazil
2/16/2020,79,anxiety,Italy
